domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
asiancorrespondent.com,-1,0,0,0,0,0
asianews.it,2,0,0,0,0,0
asiasentinel.com,-1,0,0,0,0,0
asiatimes.com,0,0,0,0,0,0
assassinationscience.com,NaN,1,0,1,0,0
astronomy.com,0,0,0,0,0,0
atlantablackstar.com,-1,0,0,0,0,0
atlanticcouncil.org,1,0,0,0,0,0
atlanticmedia.com,-1,0,0,0,0,0
atlasobscura.com,0,0,0,0,0,0
atlbanana.com,NaN,0,0,0,0,1
attn.com,-1,0,0,0,0,0
au.org,-2,0,0,0,0,0
auburnpub.com,0,0,0,0,0,0
austinchronicle.com,-2,0,0,0,0,0
austindailyherald.com,-1,0,0,0,0,0
australiannationalreview.com,NaN,1,0,1,0,0
autisminvestigated.com,NaN,1,0,1,0,0
autismspeaks.org,NaN,1,0,1,0,0
autisticadvocacy.org,0,0,0,0,0,0
autostraddle.com,-2,0,0,0,0,0
avclub.com,-1,0,0,0,0,0
avoiceformen.com,3,1,0,0,0,0
awarenessact.com,NaN,1,0,1,0,0
awazetribune.com,NaN,0,0,0,0,1
awdnews.com,NaN,1,0,1,0,0
awm.com,3,1,0,0,0,0
axiomnewsnetwork.com,2,0,0,0,0,0
axios.com,0,0,0,0,0,0
azcapitoltimes.com,0,0,0,0,0,0
azcentral.com,0,0,0,0,0,0
azdailysun.com,-1,0,0,0,0,0
azfamily.com,0,0,0,0,0,0
babylonbee.com,1,0,0,0,0,1
backchannel.com,-1,0,0,0,0,0
backroombuzz.com,3,1,0,0,0,0
badgerinstitute.org,2,0,0,0,0,0
balkaninsight.com,-1,0,0,0,0,0
ballotpedia.org,0,0,0,0,0,0
baltimoresun.com,-1,0,0,0,0,0
bangkokpost.com,0,0,0,0,0,0
bangordailynews.com,-1,0,0,0,0,0
bannedinformation.com,3,1,1,0,0,0
baptistnews.com,-1,0,0,0,0,0
barenakedislam.com,3,1,0,0,1,0
barnstablepatriot.com,0,0,0,0,0,0
barrons.com,1,0,0,0,0,0
basnews.com,-3,1,0,0,0,0
batimes.com.ar,1,0,0,0,0,0
battlecreekenquirer.com,-1,0,0,0,0,0
baxterbulletin.com,0,0,0,0,0,0
bb4sp.com,3,1,1,0,0,0
bbc.com,0,0,0,0,0,0
beaconjournal.com,-1,0,0,0,0,0
bearingarms.com,2,0,0,0,0,0
bearingdrift.com,2,0,0,0,0,0
beforeitsnews.com,3,1,0,0,0,0
